,start_id
411.0,70868.0
308.0,70863.0
302.0,70601.0
143.0,70001.0
321.0,69295.0
264.0,68733.0
389.0,68653.0
3305.0,68471.0
376.0,68124.0
2009.0,68101.0
3086.0,67626.0
398.0,67583.0
360.0,67553.0
392.0,67548.0
3134.0,67452.0
276.0,66671.0
324.0,66350.0
406.0,66057.0
366.0,65520.0
3383.0,65258.0
3232.0,65090.0
3136.0,64781.0
3350.0,64102.0
3162.0,63076.0
337.0,62791.0
3110.0,62500.0
3418.0,62284.0
342.0,62259.0
3367.0,62036.0
3320.0,61004.0
340.0,60945.0
332.0,60266.0
3243.0,60148.0
534.0,60010.0
157.0,58879.0
3285.0,58822.0
356.0,58650.0
3113.0,58552.0
3362.0,58363.0
331.0,58172.0
266.0,58028.0
282.0,57199.0
516.0,56877.0
249.0,56600.0
3169.0,56208.0
3172.0,56162.0
3108.0,55861.0
3096.0,55232.0
3382.0,55153.0
3078.0,55059.0
3151.0,55002.0
291.0,54708.0
3346.0,54642.0
274.0,54533.0
471.0,54503.0
408.0,53713.0
390.0,53382.0
3139.0,53160.0
3293.0,53143.0
258.0,52951.0
270.0,52610.0
3354.0,52363.0
3101.0,52136.0
3336.0,51845.0
3351.0,51762.0
310.0,51561.0
341.0,51538.0
3145.0,50858.0
399.0,50812.0
3292.0,50614.0
3356.0,50586.0
3087.0,50584.0
3178.0,50107.0
3116.0,49979.0
244.0,49611.0
3146.0,49594.0
3242.0,49097.0
3082.0,48410.0
437.0,48142.0
3118.0,47778.0
3368.0,47776.0
3135.0,47509.0
3315.0,47390.0
3376.0,47283.0
3124.0,47157.0
3378.0,46462.0
3115.0,46186.0
3307.0,46126.0
3150.0,45254.0
241.0,45080.0
339.0,45073.0
3109.0,44805.0
3328.0,44735.0
416.0,44540.0
3106.0,44035.0
364.0,43696.0
313.0,43332.0
260.0,43300.0
3408.0,43277.0
261.0,43265.0
3331.0,42583.0
354.0,42455.0
3100.0,42437.0
3414.0,42424.0
3400.0,42350.0
3077.0,42232.0
3312.0,42075.0
3126.0,41231.0
3417.0,41118.0
3289.0,40953.0
3335.0,40935.0
3064.0,40637.0
3420.0,40080.0
3365.0,39791.0
3373.0,38998.0
3294.0,38753.0
3364.0,38397.0
3131.0,38262.0
3308.0,37973.0
243.0,37681.0
418.0,37590.0
262.0,37536.0
3117.0,37464.0
242.0,37137.0
3366.0,36910.0
3298.0,36613.0
3370.0,36538.0
3300.0,36470.0
3430.0,36343.0
3102.0,36177.0
248.0,36089.0
3361.0,35947.0
3398.0,35380.0
3411.0,35072.0
3304.0,34883.0
353.0,34849.0
3076.0,34786.0
3080.0,34614.0
344.0,34532.0
3081.0,34032.0
3125.0,33968.0
3341.0,33892.0
82.0,33756.0
3321.0,33610.0
2022.0,32971.0
3422.0,32678.0
3419.0,32557.0
3284.0,32409.0
3377.0,32282.0
3375.0,31981.0
3152.0,31757.0
3083.0,31697.0
3319.0,31612.0
120.0,31498.0
3384.0,31479.0
3310.0,31460.0
3345.0,31452.0
3425.0,31437.0
275.0,31272.0
3389.0,30834.0
3358.0,30630.0
3396.0,30331.0
3407.0,30298.0
3415.0,30063.0
3359.0,30028.0
